amount, duration, rate, down_payment, emi
883000.0,16.0,0.14,0,140940.39822124847
45230.0,48.0,0.07,4300.0,2980.960359570062
100000.0,12.0,0.1,0,14676.331510028724
728400.0,120.0,0.12,100000.0,75408.09359555869
3637400.0,240.0,0.06,0,218244.18430410826
82900.0,90.0,0.07,8900.0,5191.769972567481
316000.0,16.0,0.13,0,47850.69325167399
15230.0,48.0,0.08,4300.0,896.7001075966344
991360.0,99.0,0.08,0,79347.75676271992
323000.0,27.0,0.09,4720010000.0,-470717536.474691
528400.0,120.0,0.11,100000.0,47124.17158774796
8633400.0,240.0,0.06,0,518004.4374473767
12900.0,90.0,0.08,8900.0,320.31436806799564
